question,choices,answer
"Increasing the velocity of propagation causes a/an _____ of the electromagnetic waves.","[""Increasing refraction"",""Decreasing reflection"",""Increasing diffraction"",""Decreasing interference""]",0
"What layer has its maximum density at approximately 70 mi a noon, when the sun is at its highest point?","[""D layer"",""E layer"",""Kennelly-Heaviside layer"",""B or C""]",3
"The sporadic E layer is a thin layer with a very high ionization density. It is considered separately from the other layers and when it appears, gives an unexpected improvement in long distance radio transmissions. What cause(s) its unpredictable appearance?","[""Sunspot activity"",""Sunspot cycle"",""Solar flares"",""A and C""]",3
"The region in the ionosphere with a very high ionization density at roughly 55 to 90 miles and is used for frequencies up to about 20 MHz. It is gone completely at midnight.","[""D layer"",""E layer"",""F layer"",""G layer""]",1
"A layer in the ionosphere which is the most important reflecting medium fir HF radio waves. It has 2 sublayers, at 90 to 250 mi height","[""A layer"",""D layer"",""E layer"",""F layer""]",3
"The apparent height of the ionized layer and is always greater than the actual height","[""Critical height"",""Virtual height"",""Maximum height"",""Imaginary height""]",1
"Refers to the shortest distance in which a sky-wave signal will be returned to the earth. It includes the maximum ground-wave range and the width of the skip zone.","[""Hop"",""Skip distance"",""Actual distance"",""Critical distance""]",1
"Concerns to the highest frequency that is able to return to earth when beamed at a certain angle of incidence","[""Relative frequency"",""Optimum frequency"",""Resonant frequency"",""Maximum usable frequency, MUF""]",3
"In ________, the distant of each succeeding hop from earth to ionosphere and back is also the skip distance.","[""Hop transmission"",""Single transmission"",""Unihop transmission"",""Multihop transmission""]",3
"Concerns to the single reflection of a radio wave form the ionosphere back to earth.","[""Jog"",""Hop"",""Skip"",""Fading""]",1
"The fluctuation of signal strength at the receiver that are caused by changes in the transmission medium","[""Fading"",""Hopping"",""Skipping"",""Diversity""]",0
"Gradual variation in the field strength of a radio signal is compensated by","[""Fading techniques"",""Diversity techniques"",""Transverse techniques"",""Transmission techniques""]",1
"A modulation of two different RF carrier frequencies with the same IF intelligence, then transmitting both RF signals to a given destination.","[""Diversity"",""Space diversity"",""Frequency diversity"",""Polarization diversity""]",2
"To increase the availability of the system, a method in which the output of a transmitter is fed to two or more antennas that are physically separated by an appreciable number of wavelengths.","[""Space diversity"",""Frequency diversity"",""Polarization diversity"",""Space wave propagation""]",0
